Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
फोलियो का शीर्षक क्या है?,"""तपस्वी और उसके अतिथि ने चूहे के साथ तपस्वी का भोजन चुरा लिया""",फोलियो में चित्रित दंतकथाओं के लेखक का नाम क्या है?,विद्यापति (बिदपाई),पांडुलिपि के लिए सुझाया गया मूल उद्गम स्थान क्या है?,मिस्र,ऐसा कहां माना जाता है कि पांडुलिपि की नकल की गई थी?,सल्तनत गुजरात
कला का शीर्षक क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कला का आकार क्या है?,"कुल मिलाकर: एच. 12 1/2 इंच (31.8 सेमी), डब्ल्यू. 8 7/8 इंच (22.6 सेमी)",कला का वर्गीकरण क्या है?,कोडीस
विवरण में दर्शाई गई वस्तु क्या है?,एक सचित्र पांडुलिपि से फोलियो,पांडुलिपि का शीर्षक क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही,कला को बनाने के लिए किस माध्यम और तकनीक का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग
यह किस प्रकार की वस्तु है?,एक सचित्र पांडुलिपि से फोलियो,कलाकृति क्या दर्शाती है?,कलिला की एक कहानी थी डिमना,कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति में प्रयुक्त मुख्य सामग्रियाँ क्या हैं?,कागज पर स्याही और अपारदर्शी जल रंग
कला का शीर्षक क्या है?,"""गज़ेल शिकारी को लुभाती है जबकि चूहा बंधे हुए कछुए को मुक्त करता है"", कलिला वा डिमना से फोलियो",कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,पांडुलिपि में चित्रित कहानियों का स्रोत क्या है?,"प्राचीन भारतीय पशु दंतकथाएँ, विद्यापति (बिदपई) द्वारा लिखित पंचतंत्र"
कलाकृति का नाम क्या है?,"""कौवा राजा अपने मंत्रियों से परामर्श करता है"", कलिला वा डिमना से फोलियो",कलाकृति किस सदी में बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति बनाने के लिए किन तकनीकों और सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति की संभावित उत्पत्ति क्या है?,"सल्तनत गुजरात, मामलुक मिस्र से प्रेरणा और ओटोमन साम्राज्य और सफ़ाविद फारस के प्रभाव से"
इस कलाकृति का विषय क्या है?,कलिला वा डिमना पांडुलिपि से सुलेख का एक पृष्ठ।,यह कलाकृति कब बनाई गई थी?,16वीं सदी की दूसरी तिमाही।,इस कलाकृति को बनाने के लिए किन तकनीकों और सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग।,इस कलाकृति का सुझाया गया मूल स्थान कहाँ है?,"सल्तनतकालीन गुजरात, मिस्र के मूल से नकल किया गया।"
कला का नाम क्या है?,"""हार्स का राजा अपनी प्रजा के साथ परामर्श में"", कलिला वा डिमना से फोलियो",कला का निर्माण कब हुआ था?,दूसरी तिमाही 16वीं सदी,कला का माध्यम क्या है?,कागज पर स्याही और अपारदर्शी जल रंग,कला का वर्गीकरण क्या है?,कोडीस
कला कृति का नाम क्या है?,"""चंद्रमा के वसंत में हाथियों के राजा के साथ चतुर खरगोश"", कलिला वा डिमना से फोलियो",कला कृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कला कृति का वर्गीकरण क्या है?,कोडीस
उस पांडुलिपि का नाम क्या है जिससे फोलियो लिया गया है?,कलिला वा डिमना,फोलियो किस शताब्दी में बनाया गया था?,दूसरी तिमाही 16वीं सदी,फोलियो बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,पांडुलिपि की आकृति शैलियों और रेखाचित्रों पर प्राथमिक प्रभाव क्या है?,मामलुक मिस्र
कला का शीर्षक क्या है?,"कलिला वा डिमना पांडुलिपि से ""कौवा जासूस उल्लुओं के राजा और उसके मंत्रियों से बात करता है""",कलाकृति कब बनाई गई थी?,16वीं सदी की दूसरी तिमाही,कला को बनाने के लिए किस माध्यम का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कला के समग्र आयाम क्या हैं?,एच. 12 1/2 इंच (31.8 सेमी) x डब्ल्यू. 8 7/8 इंच (22.6 सेमी)
कला का विषय क्या है?,"कला कलिला वा डिमना पांडुलिपि से ""द कुकोल्ड कारपेंटर अंडर द बेड ऑफ हिज वाइफ एंड हर लवर"" की कहानी दर्शाती है।",कला को बनाने के लिए किस तकनीक और सामग्री का उपयोग किया गया?,यह कला कागज पर अपारदर्शी जल रंग और स्याही का उपयोग करके बनाई गई थी।,कला का आकार क्या है?,कला का समग्र आयाम 12 1/2 इंच ऊंचा और 8 7/8 इंच चौड़ा है। औसत पाठ का आकार 8 5/8 इंच ऊंचा और 4 7/8 इंच चौड़ा है।,कला में कौन से शैलीगत प्रभाव दिखाई देते हैं?,"यह कला मामलुक, ओटोमन और सफ़ाविद प्रभावों के मिश्रण के साथ-साथ पेंटिंग की गुजराती शैली के संकेत भी प्रदर्शित करती है।"
कला का शीर्षक क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला का निर्माण किस सदी में हुआ?,16वीं शताब्दी की दूसरी तिमाही,कला को बनाने के लिए किस माध्यम का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कला का श्रेय किस देश को जाता है?,गुजरात
उस पांडुलिपि का नाम क्या है जिससे यह फोलियो है?,कलिला वा डिमना,यह फोलियो कब बनाया गया था?,दूसरी तिमाही 16वीं सदी,इस फोलियो को बनाने में किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,इस फोलियो में कौन से सांस्कृतिक प्रभाव स्पष्ट हैं?,"मामलुक मिस्र, तुर्क और सफ़ाविद"
कलाकृति का शीर्षक क्या है?,"""बूढ़ा सांप गलती से तपस्वी के बेटे को काटने की कहानी बताता है"", कलिला वा डिमना से फोलियो",कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,सुझाव दिया गया है कि कलाकृति को कहाँ से कॉपी किया गया है?,मिस्र
कला कृति का नाम क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला कृति कब बनाई गई थी?,16वीं सदी की दूसरी तिमाही,कला कृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कला कृति की संभावित उत्पत्ति क्या है?,"सल्तनतकालीन गुजरात, मिस्र के मूल से नकल किया गया"
कला का शीर्षक क्या है?,"""अपदस्थ बंदर राजा कछुए के लिए अंजीर गिराता है और दोनों दोस्त बन जाते हैं"", कलिला वा डिमना से फोलियो'",कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कला का वर्गीकरण क्या है?,कोडीस
यह किस प्रकार की कला है?,यह एक सचित्र पांडुलिपि से एक फोलियो है।,कार्य का शीर्षक क्या है?,"""द टोर्टोइज़ फ़ेरीज़ द मंकी"", कलिला वा डिमना से फोलियो।",इस कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग।,ऐसा माना जाता है कि यह पांडुलिपि मूल रूप से कहाँ से नकल की गई थी?,मिस्र.
यह किस प्रकार की वस्तु है?,एक सचित्र पांडुलिपि से फोलियो,पेंटिंग क्या दर्शाती है?,एक बंदर अंजीर के पेड़ की सुरक्षा के लिए भाग रहा है,फोलियो किस पांडुलिपि से लिया गया है?,कलिला वा डिमना,पेंटिंग की कलात्मक शैली क्या है?,ओटोमन और सफ़ाविद कला के प्रभाव वाला मामलुक मिस्र
फोलियो का विषय क्या है?,"फोलियो में ""कलीला वा डिमना"" कहानी के एक दृश्य को दर्शाया गया है, जहां एक बंदर एक गधे को एक लोमड़ी की साजिश के बारे में चेतावनी देता है जो उसे शेर द्वारा मार डालने की है।",फोलियो बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग।,फोलियो किस शताब्दी में बनाया गया था?,दूसरी तिमाही 16वीं सदी।,पांडुलिपि में निहित कहानियों का मूल क्या है?,"कहानियाँ प्राचीन भारतीय पशु दंतकथाओं, पंचतंत्र पर आधारित हैं, जो विद्यापति (बिदपई) द्वारा लिखी गई हैं।"
यह किस प्रकार की वस्तु है?,एक सचित्र पांडुलिपि से फोलियो,फोलियो का शीर्षक क्या है?,"""तपस्वी दिवास्वप्न देखते समय अपने कर्मचारियों के साथ शहद और तेल के एक जार पर प्रहार करता है"", कलिला वा डिमना से फोलियो",कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,इस कलाकृति को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग
यह किस प्रकार की कलाकृति है?,एक सचित्र पांडुलिपि से फोलियो,कलाकृति का शीर्षक क्या है?,"""तपस्वी ने अपने पालने में अपने बेटे को जीवित पाया"", कलिला वा डिमना से फोलियो",कलाकृति कब बनाई गई थी?,16वीं शताब्दी की दूसरी तिमाही,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग
किस प्रकार की कला का वर्णन किया गया है?,एक सचित्र पांडुलिपि से फोलियो,कलाकृति का शीर्षक क्या है?,"""फँसी हुई बिल्ली और डरा हुआ चूहा (चूहा?)"", कलिला वा डिमना से फोलियो",कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,ऐसा माना जाता है कि पांडुलिपि मूल रूप से कहाँ से कॉपी की गई थी?,सल्तनत गुजरात
पांडुलिपि में क्या है?,इसमें अठहत्तर पेंटिंग और कई टेक्स्ट फोलियो शामिल हैं जो सियार कलिला और डिमना की प्रसिद्ध कहानियाँ बताते हैं।,पांडुलिपि कब बनाई गई थी?,पांडुलिपि 16वीं शताब्दी की दूसरी तिमाही में बनाई गई थी।,पांडुलिपि का माध्यम क्या है?,कागज पर स्याही और अपारदर्शी जल रंग।,पांडुलिपि मूल रूप से कहाँ की है?,यह सुझाव दिया गया है कि पांडुलिपि मूल रूप से मामलुक मिस्र से थी और बाद में सल्तनत गुजरात में प्रतिलिपि बनाई गई थी।
कलाकृति का शीर्षक क्या है?,"""माता-पिता पक्षी अपने बच्चे की मौत का बदला लेने के लिए राजकुमार को अंधा कर देता है"", कलिला वा डिमना से फोलियो",कलाकृति किस सदी में बनाई गई थी?,16वीं शताब्दी की दूसरी तिमाही,कलाकृति का माध्यम और आयाम क्या है?,"मध्यम: कागज पर स्याही और अपारदर्शी जलरंग, आयाम: कुल मिलाकर: एच. 12 1/2 इंच (31.8 सेमी), डब्ल्यू. 8 7/8 इंच (22.6 सेमी)",वह साहित्यिक स्रोत क्या है जिसने पांडुलिपि को प्रेरित किया?,विद्यापति (बिदपई) द्वारा लिखित पंचतंत्र
कला क्या दर्शाती है?,कलिला वा डिमना पांडुलिपि से सुलेख का एक पृष्ठ।,कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही।,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग।,कला की शैली क्या है?,"मामलुक मिस्र, ओटोमन और सफ़ाविद प्रभावों के संकेत के साथ।"
कलाकृति का नाम क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति की उत्पत्ति और इतिहास क्या है?,"कलाकृति एक पांडुलिपि है जिसमें प्राचीन भारतीय पशु दंतकथाओं पर आधारित सियार कलिला और डिमना की कहानियां हैं। यह मामलुक मिस्र, ओटोमन और सफ़ाविद प्रभावों का मिश्रण प्रदर्शित करता है, और माना जाता है कि इसे भारत के सल्तनत गुजरात में मिस्र के मूल से कॉपी किया गया है।"
कलाकृति का नाम क्या है?,"""द लायन-किंग रिक्रूट्स द एसेटिक जैकल"", कलिला वा डिमना से फोलियो",कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति का माध्यम और समर्थन क्या है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति किस संस्कृति से सम्बंधित है?,"इसमें मामलुक मिस्र, ओटोमन तुर्की, सफ़ाविद फारस और सल्तनत गुजरात (भारत) के तत्व शामिल हैं।"
कलाकृति का शीर्षक क्या है?,"""शेरनी अपने बेटे को सलाह देती है"", कलिला वा डिमना से फोलियो",कलाकृति के आयाम क्या हैं?,एच. 12 1/2 इंच (31.8 सेमी) x डब्ल्यू. 8 7/8 इंच (22.6 सेमी),कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति की संभावित उत्पत्ति क्या है?,"सल्तनतकालीन गुजरात, मिस्र के मूल से नकल किया गया"
कला का शीर्षक क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला के निर्माण में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कला का निर्माण कब हुआ था?,दूसरी तिमाही 16वीं सदी,पांडुलिपि की कहानियों की सांस्कृतिक उत्पत्ति क्या है?,प्राचीन भारतीय पशु दंतकथाएँ (पंचतंत्र)
कलाकृति का विषय क्या है?,कलाकृति एक पांडुलिपि से अरबी सुलेख का एक पृष्ठ है जिसमें सियार कलिला और डिमना की कहानियाँ हैं।,कलाकृति कब और कहाँ बनाई गई थी?,"यह कलाकृति 16वीं शताब्दी की दूसरी तिमाही में बनाई गई थी, संभवतः भारत में सल्तनत गुजरात में।",कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग।,कलाकृति में कौन से शैलीगत प्रभाव स्पष्ट हैं?,"कलाकृति मामलुक मिस्र, ओटोमन और सफ़ाविद प्रभावों के मिश्रण को प्रदर्शित करती है, जिसमें मामलुक आकृति शैलियों और बोल्ड चित्र, ओटोमन ट्यूलिप और सफ़ाविद पगड़ी के संकेत शामिल हैं।"
किस कलाकृति का वर्णन किया जा रहा है?,एक सचित्र पांडुलिपि से फोलियो,पांडुलिपि का शीर्षक क्या है?,"""यात्री ने जानवरों की सलाह के विरुद्ध सुनार को गड्ढे से बचाया"", कलिला वा डिमना से फोलियो",पांडुलिपि कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,पांडुलिपि बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,कागज पर स्याही और अपारदर्शी जल रंग
कलाकृति का शीर्षक क्या है?,"""बदनाम सन्यासी को गधे पर शहर में घुमाया गया"", कलिला वा डिमना से फोलियो",कलाकृति बनाने के लिए किस माध्यम का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति किस सदी की है?,दूसरी तिमाही 16वीं सदी,यह कहां सुझाया गया है कि पांडुलिपि की नकल की गई होगी?,मिस्र
कलाकृति का नाम क्या है?,"""बेईमान सुनार को फाँसी दी गई"", कलिला वा डिमना से फोलियो",कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति की सांस्कृतिक उत्पत्ति क्या है?,"इसमें मामलुक मिस्र, ओटोमन, सफ़ाविद और सल्तनत गुजरात प्रभावों का मिश्रण है"
कलाकृति का नाम क्या है?,"""राजा घोषित होने के बाद राजकुमार को एक सफेद हाथी पर शहर में घुमाया गया"", कलिला वा डिमना से फोलियो",कलाकृति का माध्यम क्या है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति का वर्गीकरण क्या है?,कोडीस
कलाकृति का नाम क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कलाकृति कब बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति की शैली और उत्पत्ति क्या है?,"मामलुक मिस्र शैली, ओटोमन ट्यूलिप और सफ़ाविद पगड़ी के संकेत के साथ; संभवतः सल्तनत गुजरात में मिस्र के मूल से नकल की गई"
कलाकृति का नाम क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कलाकृति बनाने में किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,ऐसा कहां माना जाता है कि पांडुलिपि की संभवतः नकल की गई थी?,सल्तनत गुजरात,कलाकृति में प्रयुक्त कलात्मक शैली किस प्रकार की है?,ओटोमन और सफ़ाविद प्रभावों के संकेत के साथ मामलुक मिस्र
कलाकृति का नाम क्या है?,"""रानी इलार (इराख्त) ने राजा को ब्राह्मणों के बारे में चेतावनी दी (?)"", कलिला वा डिमना से फोलियो""",कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,सृष्टि की अनुमानित तिथि क्या है?,16वीं सदी की दूसरी तिमाही,कलाकृति की सांस्कृतिक पृष्ठभूमि क्या है?,"यह प्राचीन भारतीय पशु दंतकथाओं, पंचतंत्र से प्रेरणा लेता है, और इसमें मामलुक मिस्र, ओटोमन तुर्की और सफ़ाविद फारस के तत्व शामिल हैं।"
कलाकृति का शीर्षक क्या है?,कलिला वा डिमना से फोलियो,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कलाकृति किस सदी की है?,दूसरी तिमाही 16वीं सदी,कलाकृति के अरबी पाठ में प्रयुक्त लिपि का नाम क्या है?,"मजबूत, वामपंथी झुकाव वाली नस्ख जैसी स्क्रिप्ट"
कलाकृति का शीर्षक क्या है?,"""इलार (या इरख्त) राजा पर चावल का कटोरा फेंकने वाला है"", कलिला वा डिमना से फोलियो",कलाकृति किस सदी में बनाई गई थी?,दूसरी तिमाही 16वीं सदी,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,क्या यह सुझाव देने के लिए कोई सबूत है कि कलाकृति ने यात्रा की है?,"हाँ, जले हुए नारंगी पैलेट और गहरी स्याही वाली रेखाओं के आधार पर, यह सुझाव दिया गया है कि कलाकृति को मिस्र के मूल से सल्तनत गुजरात में कॉपी किया गया था। इसके अतिरिक्त, अंत में एक देवनागरी शिलालेख है, जो दर्शाता है कि इसने भारत में समय बिताया होगा।"
कला का शीर्षक क्या है?,"""नर कबूतर मादा कबूतर को चोंच मार रहा है"", कलिला वा डिमना से फोलियो",कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही,कला में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,कला का वर्गीकरण क्या है?,कोडीस
यह किस प्रकार की कला है?,एक सचित्र पांडुलिपि से फोलियो,कलाकृति का विषय क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कलाकृति का कलाकार कौन है?,प्रदान की गई जानकारी में कलाकार का नाम निर्दिष्ट नहीं है।,कलाकृति कहाँ बनाई गई थी?,संभवतः सल्तनत गुजरात में मिस्र के मूल से नकल की गई
कला का नाम क्या है?,"""ब्राह्मणों का निष्पादन"", कलिला वा डिमना से फोलियो",कला का निर्माण कब हुआ था?,16वीं सदी की दूसरी तिमाही,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर स्याही और अपारदर्शी जल रंग,कला का निर्माण कहाँ होने की संभावना है?,सल्तनत गुजरात
कला का शीर्षक क्या है?,कलिला वा डिमना से सुलेख का पृष्ठ,कला का निर्माण किस सदी में हुआ?,16वीं सदी की दूसरी तिमाही,कला में किस माध्यम का प्रयोग किया जाता है?,कागज पर स्याही और अपारदर्शी जल रंग,इस कला का प्राथमिक वर्गीकरण क्या है?,कोडीस
कला का नाम क्या है?,फूलदान,कला का निर्माण कब हुआ था?,सत्रवहीं शताब्दी,कला में प्रयुक्त प्राथमिक सामग्री क्या है?,पीतल,कला पर छिद्रित सजावट का उद्देश्य क्या है?,"छेद वाली सजावट को एक ओपनवर्क स्क्रीन कहा जाता है, जो पानी के लिए एक आंतरिक पात्र को घेर लेती है, जिससे बर्तन एक पानी का फूलदान बन जाता है।"
कलाकृति का उद्देश्य क्या है?,"यह एक बेड कवर है, जिसे विशेष रूप से ""पालमपुर"" कहा जाता है।",कलाकृति कब बनाई गई थी?,इसका निर्माण 18वीं शताब्दी में हुआ था।,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"कपास, सादे बुनाई, मार्डेंट पेंटिंग और रंगाई, और प्रतिरोधी रंगाई के साथ।",कलाकृति की सजावट की एक अनूठी विशेषता क्या है?,"इसमें अंग्रेजी कढ़ाई, चीनी सजावटी वस्तुओं और भारतीय वस्त्रों के तत्वों का मिश्रण होता है, जिसमें अक्सर फलों और पक्षियों से लदे एक केंद्रीय पेड़ की विशेषता होती है।"
चित्र में किसे दर्शाया गया है?,आमेर के राजा मान सिंह.,कलाकृति किस वर्ष बनाई गई थी?,सीए। 1590.,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना।",कलाकृति का वर्गीकरण क्या है?,कोडीस।
कला का शीर्षक क्या है?,बीजापुर का घर,कला का निर्माण कब हुआ था?,सीए। 1680,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"कागज पर स्याही, अपारदर्शी जल रंग, सोना और चांदी",कला का कलाकार कौन है?,कमाल मुहम्मद
कला का नाम क्या है?,फ़्लोरस्प्रेड का टुकड़ा,इसे कब बनाया गया था?,17वीं सदी के अंत में,यह किस प्रकार की सामग्री से बना है?,"कपास; सादा बुनाई, मॉर्डेंट-पेंटेड और रंगे हुए, प्रतिरोध-रंगे",कला की विशिष्ट विशेषता क्या है?,"कलमकारी रंगाई प्रक्रिया का उपयोग, जहां पहले से ही नील रंग से रंगे हुए क्षेत्रों पर पीले रंग से रंगकर हरा रंग प्राप्त किया जाता है।"
खंजर की मूठ के लिए प्रयुक्त प्राथमिक सामग्री क्या है?,नफ्रैट,यह खंजर लगभग किस वर्ष बनाया गया था?,1640,मुगलकालीन भारत में खंजर का मुख्य उद्देश्य क्या है?,अपने मालिक की संपत्ति और शक्ति को प्रदर्शित करने के लिए,हैंडल के विशिष्ट आकार और उसकी उत्पत्ति का वर्णन करें।,"हैंडल में पिस्तौल की पकड़ है, एक घुमावदार आकार जो दक्कन में उत्पन्न हुआ और शाहजहाँ के शासनकाल के दौरान मुगल चित्रकला में लोकप्रिय हो गया।"
कलाकृति का विषय क्या है?,कलाकृति में लॉर और चंदा के रोमांटिक कारनामों को दर्शाया गया है।,कलाकृति कब बनाई गई थी?,लगभग 1525-50 ई.,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना।",कलाकृति विभिन्न शैलियों का मिश्रण कैसे करती है?,इसमें शिराज की फ़ारसी चित्रकला के तत्वों को उत्तरी भारत की चौरपंचासिका शैली के साथ जोड़ा गया है।
कला का शीर्षक क्या है?,"""काई खुसरो ने समुद्र पार किया"", फिरदौसी के शाहनामा (राजाओं की पुस्तक) से फोलियो",कलाकार कौन था?,अबुल क़ासिम फ़िरदौसी,कला का निर्माण कब हुआ था?,सीए। 1610,कला कहाँ बनाई गई थी?,"बीजापुर, भारत"
कला का नाम क्या है?,इंटरलॉक्ड ट्यूलिप और पॉपीज़ के दोहराव वाले पैटर्न के साथ कपड़ा टुकड़ा,कपड़ा कब बनाया गया था?,सीए। 1628-58,कपड़ा का उत्पादन कहाँ होता था?,"सटीक स्थान अनिश्चित है, या तो भारत या फारस",कपड़ा किस प्रकार की सामग्री से बना है?,"रेशम, धातु लपेटा हुआ धागा; सादा बुनाई, ब्रोकेड"
कला का नाम क्या है?,सुलेख डिश,कला का निर्माण कब हुआ था?,सीए। 1600,कला बनाने के लिए किस सामग्री का उपयोग किया जाता है?,तांबे की मिश्र धातु,कला का अज्ञात कार्य क्या है?,"समान थुलुथ लिपि सजावट वाली लगभग बीस वस्तुओं के समूह का हिस्सा होने के बावजूद, कला का विशिष्ट कार्य अज्ञात है।"
