objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
453118,Folio from an illustrated manuscript,"""The King of the Hares in Counsel with his Subjects"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[110  90 119]
  [254 235 255]
  [253 238 255]
  ...
  [222 231 240]
  [224 233 242]
  [227 236 245]]

 [[243 224 251]
  [255 241 255]
  [243 229 247]
  ...
  [223 232 241]
  [225 234 243]
  [225 234 243]]

 [[251 236 255]
  [243 229 247]
  [249 236 250]
  ...
  [222 231 240]
  [222 231 240]
  [218 227 236]]

 ...

 [[239 240 244]
  [240 241 245]
  [240 241 245]
  ...
  [229 240 254]
  [229 240 254]
  [227 238 252]]

 [[240 241 245]
  [240 241 245]
  [240 241 245]
  ...
  [220 231 245]
  [220 231 245]
  [218 229 243]]

 [[241 242 246]
  [241 242 246]
  [241 242 246]
  ...
  [223 234 248]
  [225 236 250]
  [225 236 250]]]", What is the name of the art?," ""The King of the Hares in Counsel with his Subjects"", Folio from a Kalila wa Dimna", When was the art created?, Second quarter 16th century, What is the medium of the art?, Ink and opaque watercolor on paper, What is the classification of the art?, Codices
453119,Folio from an illustrated manuscript,"""The Clever Hare with the King of the Elephants at the Spring of the Moon"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[232 244 248]
  [233 245 249]
  [231 243 247]
  ...
  [183 196 210]
  [182 195 209]
  [179 192 206]]

 [[225 237 241]
  [225 237 241]
  [223 235 239]
  ...
  [182 195 209]
  [182 195 209]
  [180 193 207]]

 [[229 241 245]
  [231 243 247]
  [229 241 245]
  ...
  [180 193 207]
  [181 194 208]
  [180 193 207]]

 ...

 [[230 244 255]
  [229 243 255]
  [227 241 253]
  ...
  [219 231 249]
  [217 229 247]
  [215 227 245]]

 [[217 231 243]
  [219 233 245]
  [223 237 249]
  ...
  [219 231 249]
  [216 228 246]
  [215 227 245]]

 [[227 239 249]
  [230 242 252]
  [229 241 251]
  ...
  [214 224 241]
  [214 224 241]
  [215 225 242]]]", What is the name of the art piece?," ""The Clever Hare with the King of the Elephants at the Spring of the Moon"", Folio from a Kalila wa Dimna", When was the art piece created?, Second quarter 16th century, What is the medium used to create the art piece?, Ink and opaque watercolor on paper, What is the classification of the art piece?, Codices
453120,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[253 254 250]
  [255 255 254]
  [254 253 255]
  ...
  [194 187 194]
  [191 191 197]
  [189 193 198]]

 [[253 254 250]
  [255 255 254]
  [253 252 254]
  ...
  [195 187 194]
  [192 190 196]
  [189 192 197]]

 [[253 254 250]
  [255 255 254]
  [253 252 254]
  ...
  [199 188 196]
  [196 189 196]
  [191 189 195]]

 ...

 [[169 175 186]
  [169 175 186]
  [171 176 185]
  ...
  [195 189 194]
  [190 189 193]
  [187 190 194]]

 [[174 179 188]
  [172 177 186]
  [173 176 184]
  ...
  [196 189 194]
  [190 189 193]
  [187 190 194]]

 [[169 174 183]
  [169 175 182]
  [175 178 186]
  ...
  [199 189 195]
  [192 188 193]
  [187 190 194]]]", What is the name of the manuscript that the folio is from?, Kalila wa Dimna, In what century was the folio created?, Second quarter 16th century, What is the medium used to create the folio?, Ink and opaque watercolor on paper, What is the primary influence on the figure styles and drawings of the manuscript?, Mamluk Egypt
453121,Folio from an illustrated manuscript,"""The Crow Spy Talks to the King of the Owls and His Ministers"", Folio from a Kalila wa Dimna Manuscript",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[251 254 255]
  [248 253 255]
  [244 251 254]
  ...
  [244 251 254]
  [248 255 255]
  [125 128 132]]

 [[249 254 255]
  [245 252 255]
  [242 251 254]
  ...
  [241 248 251]
  [247 254 255]
  [123 126 130]]

 [[244 251 254]
  [242 251 254]
  [239 251 253]
  ...
  [242 249 252]
  [248 255 255]
  [124 127 131]]

 ...

 [[250 255 255]
  [246 254 254]
  [247 255 255]
  ...
  [243 249 248]
  [249 255 254]
  [125 131 130]]

 [[246 250 251]
  [240 245 246]
  [241 246 247]
  ...
  [251 255 255]
  [245 250 249]
  [126 131 130]]

 [[ 29  33  34]
  [ 21  25  26]
  [ 21  26  27]
  ...
  [ 13  18  17]
  [ 30  35  34]
  [  3   8   7]]]", What is the title of the art?," ""The Crow Spy Talks to the King of the Owls and His Ministers"" from a Kalila wa Dimna Manuscript", When was the artwork created?, Second quarter of the 16th century, What medium was used to create the art?, Ink and opaque watercolor on paper, What are the overall dimensions of the art?, H. 12 1/2 in. (31.8 cm) x W. 8 7/8 in. (22.6 cm)
453122,Folio from an illustrated manuscript,"""The Cuckold Carpenter Under the Bed of his Wife and her Lover"", Folio from a Kalila wa Dimna",,second quarter 16th century,Opaque watercolor and ink on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[164 164 164]
  [166 166 166]
  [165 165 165]
  ...
  [163 165 165]
  [158 160 160]
  [159 161 161]]

 [[163 163 163]
  [165 165 165]
  [164 164 164]
  ...
  [160 162 162]
  [157 159 159]
  [156 158 158]]

 [[164 164 164]
  [164 164 164]
  [164 164 164]
  ...
  [158 160 160]
  [158 160 160]
  [156 158 158]]

 ...

 [[160 162 163]
  [159 161 162]
  [162 164 165]
  ...
  [160 161 165]
  [160 161 165]
  [160 161 165]]

 [[163 165 166]
  [161 163 164]
  [163 165 166]
  ...
  [160 161 165]
  [160 161 165]
  [161 162 166]]

 [[165 167 168]
  [162 164 165]
  [163 165 166]
  ...
  [160 161 165]
  [161 162 166]
  [162 163 167]]]", What is the subject matter of the art?," The art depicts the story of ""The Cuckold Carpenter Under the Bed of his Wife and her Lover"" from the Kalila wa Dimna manuscript.", What technique and materials were used to create the art?, The art was created using opaque watercolor and ink on paper., What is the size of the art?, The overall dimensions of the art are 12 1/2 inches high by 8 7/8 inches wide. The average text size is 8 5/8 inches high by 4 7/8 inches wide., What are some of the stylistic influences visible in the art?," The art exhibits a blend of Mamluk, Ottoman, and Safavid influences, as well as hints of the Gujarati style of painting."
453123,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[159 161 161]
  [160 162 162]
  [161 163 163]
  ...
  [156 158 158]
  [153 155 155]
  [151 153 153]]

 [[162 164 164]
  [162 164 164]
  [162 164 164]
  ...
  [157 159 159]
  [155 157 157]
  [155 157 157]]

 [[161 163 163]
  [161 163 163]
  [162 164 164]
  ...
  [158 160 160]
  [157 159 159]
  [158 160 160]]

 ...

 [[158 160 161]
  [156 158 159]
  [158 160 161]
  ...
  [156 157 161]
  [158 159 163]
  [158 159 163]]

 [[159 161 162]
  [158 160 161]
  [159 161 162]
  ...
  [156 157 161]
  [156 157 161]
  [155 156 160]]

 [[159 161 162]
  [161 163 164]
  [160 162 163]
  ...
  [159 160 164]
  [157 158 162]
  [155 156 160]]]", What is the title of the art?, Page of Calligraphy from a Kalila wa Dimna, In what century was the art created?, second quarter 16th century, What medium was used to create the art?, Ink and opaque watercolor on paper, To what country is the art attributed?, Gujarat
453124,Folio from an illustrated manuscript,"""The Crows Trap the Owls in Their Cave by Lighting a Fire at the Entrance and Fanning it with Their Wings"" , Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[230 241 245]
  [235 246 250]
  [229 240 244]
  ...
  [225 236 244]
  [230 241 249]
  [232 243 251]]

 [[229 240 244]
  [231 242 246]
  [227 238 242]
  ...
  [224 235 243]
  [229 240 248]
  [232 243 251]]

 [[228 239 243]
  [226 237 241]
  [226 237 241]
  ...
  [221 232 240]
  [224 235 243]
  [226 237 245]]

 ...

 [[228 243 252]
  [229 244 253]
  [228 243 252]
  ...
  [229 238 251]
  [226 235 248]
  [225 234 247]]

 [[224 239 248]
  [227 242 251]
  [228 243 252]
  ...
  [226 235 248]
  [223 232 245]
  [222 231 244]]

 [[221 236 245]
  [222 237 246]
  [227 242 251]
  ...
  [227 236 249]
  [223 232 245]
  [220 229 242]]]", What is the name of the manuscript that this folio is from?, Kalila wa Dimna, When was this folio created?, Second quarter 16th century, What materials were used to make this folio?, Ink and opaque watercolor on paper, What cultural influences are evident in this folio?," Mamluk Egyptian, Ottoman, and Safavid"
453125,Folio from an illustrated manuscript,"""The Old Snake Tells the Tale of Biting the Ascetic's Son by Mistake"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[163 163 163]
  [163 163 163]
  [165 165 165]
  ...
  [161 163 163]
  [160 162 162]
  [159 161 161]]

 [[163 163 163]
  [163 163 163]
  [164 164 164]
  ...
  [161 163 163]
  [160 162 162]
  [159 161 161]]

 [[162 162 162]
  [163 163 163]
  [164 164 164]
  ...
  [161 163 163]
  [159 161 161]
  [159 161 161]]

 ...

 [[161 163 164]
  [162 164 165]
  [162 164 165]
  ...
  [156 157 161]
  [157 158 162]
  [158 159 163]]

 [[162 164 165]
  [163 165 166]
  [162 164 165]
  ...
  [157 158 162]
  [159 160 164]
  [160 161 165]]

 [[159 160 164]
  [160 161 165]
  [160 161 165]
  ...
  [158 159 163]
  [158 159 163]
  [159 160 164]]]", What is the title of the artwork?," ""The Old Snake Tells the Tale of Biting the Ascetic's Son by Mistake"", Folio from a Kalila wa Dimna", When was the artwork created?, Second quarter 16th century, What is the medium used in the artwork?, Ink and opaque watercolor on paper, Where is the artwork suggested to have been copied from?, Egypt
453126,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[171 164 167]
  [163 160 162]
  [156 158 159]
  ...
  [141 153 155]
  [135 141 140]
  [140 141 137]]

 [[173 168 170]
  [161 158 160]
  [155 157 158]
  ...
  [142 151 154]
  [136 142 141]
  [142 143 139]]

 [[174 169 171]
  [162 159 161]
  [155 157 158]
  ...
  [143 150 153]
  [136 142 141]
  [142 145 143]]

 ...

 [[173 178 181]
  [175 178 182]
  [181 180 184]
  ...
  [176 169 174]
  [172 171 175]
  [168 173 176]]

 [[176 178 179]
  [177 184 187]
  [169 177 184]
  ...
  [172 171 175]
  [171 168 177]
  [172 168 180]]

 [[176 178 179]
  [177 184 187]
  [169 177 184]
  ...
  [172 171 175]
  [171 168 177]
  [172 168 180]]]", What is the name of the art piece?, Page of Calligraphy from a Kalila wa Dimna, When was the art piece created?, Second quarter of the 16th century, What is the medium used in the art piece?, Ink and opaque watercolor on paper, What is the likely origin of the art piece?," Sultanate Gujarat, copied from an Egyptian original"
453127,Folio from an illustrated manuscript,"""The Deposed Monkey King Drops Figs for the Tortoise and the Two Become Friends"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[163 163 163]
  [164 164 164]
  [164 164 164]
  ...
  [162 164 164]
  [163 165 165]
  [161 163 163]]

 [[162 162 162]
  [163 163 163]
  [163 163 163]
  ...
  [162 164 164]
  [161 163 163]
  [158 160 160]]

 [[162 162 162]
  [162 162 162]
  [161 161 161]
  ...
  [163 165 165]
  [160 162 162]
  [158 160 160]]

 ...

 [[163 165 166]
  [161 163 164]
  [163 165 166]
  ...
  [161 162 166]
  [162 163 167]
  [162 163 167]]

 [[159 161 162]
  [158 160 161]
  [162 164 165]
  ...
  [159 160 164]
  [160 161 165]
  [161 162 166]]

 [[163 165 166]
  [161 163 164]
  [164 166 167]
  ...
  [159 160 164]
  [160 161 165]
  [160 161 165]]]", What is the title of the art?," ""The Deposed Monkey King Drops Figs for the Tortoise and the Two Become Friends"", Folio from a Kalila wa Dimna'", When was the art created?, Second quarter of the 16th century, What materials were used to create the art?, Ink and opaque watercolor on paper, What is the classification of the art?, Codices
453128,Folio from an illustrated manuscript,"""The Tortoise Ferries the Monkey"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[160 162 162]
  [160 162 162]
  [159 161 161]
  ...
  [158 160 161]
  [158 160 161]
  [157 159 160]]

 [[161 163 163]
  [159 161 161]
  [158 160 160]
  ...
  [159 161 162]
  [159 161 162]
  [161 163 164]]

 [[163 165 165]
  [159 161 161]
  [157 159 159]
  ...
  [160 162 163]
  [160 162 163]
  [163 165 166]]

 ...

 [[160 161 165]
  [158 159 163]
  [157 158 162]
  ...
  [161 162 166]
  [160 161 165]
  [161 162 166]]

 [[159 160 164]
  [158 159 163]
  [158 159 163]
  ...
  [159 160 164]
  [158 159 163]
  [163 164 168]]

 [[161 162 166]
  [160 161 165]
  [160 161 165]
  ...
  [161 162 166]
  [162 163 167]
  [160 161 165]]]", What type of art is this?, It is a folio from an illustrated manuscript., What is the title of the work?," ""The Tortoise Ferries the Monkey"", Folio from a Kalila wa Dimna.", What is the medium used to create this art?, Ink and opaque watercolor on paper., Where is it believed that this manuscript was originally copied from?, Egypt.
453129,Folio from an illustrated manuscript,"""The Monkey Escapes to the Safety of the Fig Tree"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[159 161 161]
  [157 159 159]
  [157 159 159]
  ...
  [162 164 165]
  [163 165 166]
  [163 165 166]]

 [[161 163 163]
  [161 163 163]
  [162 164 164]
  ...
  [163 165 166]
  [161 163 164]
  [160 162 163]]

 [[160 162 162]
  [162 164 164]
  [166 168 168]
  ...
  [162 164 165]
  [161 163 164]
  [160 162 163]]

 ...

 [[158 159 163]
  [159 160 164]
  [164 165 169]
  ...
  [163 163 169]
  [163 163 169]
  [164 164 170]]

 [[161 162 166]
  [159 160 164]
  [163 164 168]
  ...
  [161 161 167]
  [161 161 167]
  [164 164 170]]

 [[165 166 170]
  [160 161 165]
  [161 162 166]
  ...
  [158 158 164]
  [158 158 164]
  [162 162 168]]]", What type of object is it?, Folio from an illustrated manuscript, What does the painting depict?, A monkey escaping to the safety of a fig tree, From which manuscript is the folio taken?, Kalila wa Dimna, What is the artistic style of the painting?, Mamluk Egyptian with influences from Ottoman and Safavid art
453130,Folio from an illustrated manuscript,"""The Monkey Tells the Story of the Fox Luring the Ass to its Death by the Lion"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[160 162 162]
  [159 161 161]
  [160 162 162]
  ...
  [160 162 163]
  [162 164 165]
  [160 162 163]]

 [[162 164 164]
  [161 163 163]
  [161 163 163]
  ...
  [160 162 163]
  [163 165 166]
  [163 165 166]]

 [[162 164 164]
  [160 162 162]
  [160 162 162]
  ...
  [159 161 162]
  [163 165 166]
  [165 167 168]]

 ...

 [[161 163 164]
  [160 162 163]
  [163 165 166]
  ...
  [159 160 164]
  [159 160 164]
  [160 161 165]]

 [[159 161 162]
  [158 160 161]
  [162 164 165]
  ...
  [160 161 165]
  [159 160 164]
  [159 160 164]]

 [[158 160 161]
  [156 158 159]
  [159 161 162]
  ...
  [161 162 166]
  [159 160 164]
  [157 158 162]]]", What is the subject matter of the folio?," The folio depicts a scene from the ""Kalila wa Dimna"" fable, where a monkey warns an ass about a fox's plot to lead it to its death by a lion.", What is the medium used to create the folio?, Ink and opaque watercolor on paper., In what century was the folio created?, Second quarter 16th century., What is the origin of the stories contained in the manuscript?," The stories are based on the ancient Indian animal fables, the Panchatantra, written by Vidyapati (Bidpai)."
453131,Folio from an illustrated manuscript,"""The Ascetic Strikes a Jar of Honey and Oil with his Staff While Daydreaming"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.","[[[228 240 244]
  [227 239 243]
  [228 240 244]
  ...
  [218 229 237]
  [219 230 238]
  [225 236 244]]

 [[222 234 238]
  [224 236 240]
  [224 236 240]
  ...
  [220 231 239]
  [216 227 235]
  [217 228 236]]

 [[217 229 233]
  [222 234 238]
  [222 234 238]
  ...
  [227 238 246]
  [224 235 243]
  [221 232 240]]

 ...

 [[219 234 243]
  [222 237 246]
  [225 240 249]
  ...
  [220 231 245]
  [221 232 246]
  [223 234 248]]

 [[221 236 245]
  [223 238 247]
  [224 239 248]
  ...
  [220 231 245]
  [223 234 248]
  [223 234 248]]

 [[220 235 244]
  [226 241 250]
  [227 242 251]
  ...
  [229 240 254]
  [226 237 251]
  [221 232 246]]]", What type of object is this?, Folio from an illustrated manuscript, What is the title of the folio?," ""The Ascetic Strikes a Jar of Honey and Oil with his Staff While Daydreaming"", Folio from a Kalila wa Dimna", When was the artwork created?, Second quarter 16th century, What materials were used to create this artwork?, Ink and opaque watercolor on paper
