objectID,primaryImageLink,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
452814,https://images.metmuseum.org/CRDImages/is/original/sf1976-176-2a.jpg,Powder horn,Inlaid Powder Horn,,18th century,"Wood overlaid with horn, mother-of-pearl, and ivory; silver",Gr. W. 5 3/4 in. (14.6 cm),Kotah,Arms and Armor,"A powder horn, which typically was made of cow or buffalo horn, refers to any personal container that was used for gunpowder. This flask is made of wood, but shaped to resemble a nautilus shell. The floral decoration that makes up the body is inlaid with horn, mother of pearl, and ivory. The two silver hooks would have attached to a strap worn over the shoulder, allowing the user to easily access the gunpowder by lifting the lid off the top.", What is the primary material used to construct the powder horn?, Wood, What is the decoration of the powder horn comprised of?," Horn, mother-of-pearl, and ivory", Where was the powder horn created?, Kotah, What purpose did the silver hooks serve?, To attach to a strap for wearing over the shoulder
452815,https://images.metmuseum.org/CRDImages/is/original/DP153429.jpg,Shield,Shield with Hunting and Landscape Vignettes,,second half 17th century,Steel; with gold overlay,Diam. 21 11/16 in. (57.7 cm),,Arms and Armor,"The Mughal aesthetics are reflected in its weaponry. This shield, which belongs to the first quarter of eighteenth century, is ornately decorated with inlaid gold decoration on its rim and knob. The subject depicted on the border of the rim shows the ruler who is accompanied by his attendants’ aims with his rifle, gallops on a horse with a lance in his hand or attacks a furious lion. The hunting scene depicts dynamic movement with dogs and tiger jumping on their prey and an aggressive elephant trampling with a broken chain in its rear foot. The outer border contains stylized floral and leaf motifs characteristic of the period of Mughal Emperor Aurengzeb Alamgir. The central knob of the shield bears an intricately engraved landscape with architecture and rock formation. The profuse ornamentation of this shield suggests that it was likely a royal object.", What is the name of the art object?, Shield, What is the material used to make the shield?, Steel; with gold overlay, What is the time period and region of the shield's origin?," Second half of 17th century, Mughal aesthetics", What are the scenes and motifs depicted on the shield?," Hunting scenes with animals, attendants, rulers, floral motifs, and a landscape with architecture and rock formations."
452819,https://images.metmuseum.org/CRDImages/is/original/DP246515.jpg,Folio from an illustrated manuscript,"""Khizr Comes to the Ascetic's Cell"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,ca. 1450,Ink and opaque watercolor on paper,"Page: 
H. 13 1/2 in. (34.3 cm)
W. 10 1/4 in. (26 cm)
Painting: 
H. 3 3/4 in. (9.5 cm)
W. 8 1/16 in. (20.5 cm)",,Codices,"This painting illustrates an episode from a five-part poem written by Amir Khusrau Dihlavi between 1298 and 1302. In the painting, a young man named Khizr is admonished by an ascetic to be faithful and disregard the opinion of others. The page comes from a book attributed to northern India in the fifteenth century, although it displays many features of contemporary Iranian painting, such as large-scale plants and a single-color background.", What is the title of the artwork?," ""Khizr Comes to the Ascetic's Cell""", When was the artwork created?, ca. 1450, What is the medium used in the artwork?, Ink and opaque watercolor on paper, What is the classification of the artwork?, Codices
452836,https://images.metmuseum.org/CRDImages/is/original/DP252726.jpg,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,probably 15th century,"Ink, opaque watercolor, and gold on paper","H. 20 9/16 in. (52.2 cm)
W. 12 3/8 in. (31.4 cm)",,Codices,"A unique cursive script was used for Indian Qur'ans between the late fourteenth and mid-sixteenth centuries. Called bihari (from the region of Bihar), although it is not known exactly where it was developed, the script’s main traits are wide, extended horizontal lines and thin delicate verticals. Qur'ans of this style also often feature several different colors for the text (such as red for the word Allah and gold for the start of a new section), and include zigzagging Persian commentary in the margins.", Describe the type of script used on this Qur'an folio?," A unique cursive script called ""bihari"" was used.", When was this Qur'an folio likely created?, Probably 15th century," What is distinctive about the appearance of ""bihari"" script?"," It features wide, extended horizontal lines and thin, delicate verticals."," What additional characteristics are typically found in Qur'ans written in the ""bihari"" script?", They often include multiple colors for the text and zigzagging Persian commentary in the margins.
452912,https://images.metmuseum.org/CRDImages/is/original/wb-1978.546.51a.JPG,Textile fragment,Textile Fragment,,probably 15th–16th century,Cotton; block-printed and resist dyed,"Textile: 
H. 8 1/8 in (20.7 cm)
W. 5 in. (12.7 cm)
Mount 
H. 11 1/8 in 28.3 cm)
W. 14 1/4 in (36.2 cm)",probably Ahmadabad,Textiles-Painted and/or Printed,"This textile, produced in the fifteenth or sixteenth century under the Gujarat Sultanate, was made with the traditional dyeing technique of kalamkari. A wax resist was applied to this white cotton cloth, which was then dipped into a bath of indigo dye. A lotus-like flower and a sixteen-sided rosette form the design, which resembles that of a jali screen.", What type of fabric was used to create the textile fragment?, Cotton, What technique was utilized in dyeing the fragment?, Kalamkari (wax resist dyeing), What is the probable date range for the creation of this artwork?, 15th–16th century, What is the main design element depicted on the fabric?, A lotus-like flower and a sixteen-sided rosette
452913,https://images.metmuseum.org/CRDImages/is/original/wb-1978.546.51bb.JPG,Textile fragment,Textile Fragment,,probably 15th–16th century,"Cotton; plain weave, stamp resist dyed","Textile: 
             H. 8 1/16 in. (20.5 cm)
             W. 5 1/16 in. (13.5 cm)
Mount: 
             H.11 1/8 in (28.3 cm)
             W. 14 1/4 in (36.2 cm)",probably Ahmadabad,Textiles-Painted and/or Printed,"This textile, produced in the fifteenth or sixteenth century under the Gujarat Sultanate, was made with the traditional dyeing technique of kalamkari. A wax resist was applied to this white cotton cloth, which was then dipped into a bath of indigo dye. A lotus-like flower and a sixteen-sided rosette form the design, which resembles that of a jali screen.", What is the name of the art object?, Textile Fragment, When was it likely created?, Probably 15th–16th century, What is the technique used to create the design?," Kalamkari, a wax resist dyeing technique", What does the design resemble?," A jali screen, featuring a lotus-like flower and a sixteen-sided rosette"
452942,https://images.metmuseum.org/CRDImages/is/original/sf1979-295-1r.jpg,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,14th century,"Ink, opaque watercolor, and gold on paper","H. 19 1/2 in. (49.5 cm)
W. 14 in. (35.5 cm)",,Codices,"This Qur’an, which probably dates to fourteenth century Iran, is written in muhaqqaq script, a version practiced at the Ilkhanid court. Each folio has seven lines with interlinear Persian translation in naskhi script and an ornamental medallion on the right-hand side margin of the verso. Every ayat (verse) ends with a round verse marker painted in gold and opaque water colors. These verses 23-28 are from Surah al-A’raf (chapter 7), which guide the believer to observe modesty and be aware of Satan’s beguile", What is the type of object depicted?, Folio from a non-illustrated manuscript, What is the title of the artwork?, Folio from a Qur'an Manuscript, When was the object created?, 14th century, What materials were used to create the object?," Ink, opaque watercolor, and gold on paper"
452943,https://images.metmuseum.org/CRDImages/is/original/DP295567.jpg,Folio from a non-illustrated manuscript,Folio from a Qur'an Manuscript,,14th century,"Ink, opaque watercolor, and gold on paper","H. 19 1/2 in. (49.5 cm)
W. 14 in. (35.5 cm)",,Codices,"This Qur’an which probably belongs to fourteenth century Iran is written in muhaqqaq script. Each folio has seven lines with interlinear Persian translation in naskhi script. This folio has an ornamental medallion on the margin as a tenth verse marker. Every ayat (verse) ends with a round verse-marker in gold and color. The verses 71-75 are from Surah al-A’raf (chapter 7), which narrates the dialogue between the people of ‘Aad and the Prophet Hud before God’s wrath upon them.", What type of manuscript is this artwork from?, Folio from a Qur'an Manuscript, When was this artwork created?, 14th century, What medium was used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the subject matter of the artwork?, Verses 71-75 from Surah al-A'raf (chapter 7) of the Qur'an
452944,https://images.metmuseum.org/CRDImages/is/original/sf1979-295-6r.jpg,"Non-illustrated manuscript, folio",Folio from a Qur'an Manuscript,,14th century,"Ink, opaque watercolor, and gold on paper","H. 19 1/2 in. (49.5 cm)
W. 14 in. (35.5 cm)",,Codices,"While the style of illumination and use of  muhaqqaq script point to a fourteenth century date for this Qur’an, the place where it was copied is uncertain. The size of the manuscript, the type of paper it is written on and the appearance of Persian translations underneath each line of Arabic are typical of Qur’ans from both India and Iran during this period.The folio has seven lines with interlinear Persian translation in naskhi script. This folio with verses 81-86 from Surah al-A’raf (chapter 7) has an ornamental medallion on the margin of the recto marking the tenth verse.", What is the name of this art piece?, Folio from a Qur'an Manuscript, When was the art piece created?, 14th century, What materials were used to create the art piece?," Ink, opaque watercolor, and gold on paper", What is the style of script used in the art piece?, Muhaqqaq script
453053,https://images.metmuseum.org/CRDImages/is/original/DP240305.jpg,Panel,Dedicatory Inscription from a Mosque,,dated 905 AH/1500 CE,Gabbro; carved,"H. 16 1/8 in. (41 cm)
W. 45 5/16 in. (115.1 cm)
D. 2 3/4 in. (7 cm)
Wt. 194 lbs. (88 kg)",,Stone,"This dedicatory inscription in ""tughra"" script, dated A.H. 905/A.D. 1500, is from a mosque in western Bengal built for Prince Daniyal, a son of Sultan Husayn Shah. The inscription is an outstanding example of Indo-Muslim epigraphy: the regular pattern in which the vertical letters are arranged and the skillfully inserted, bowlike words that structure the pattern are typical of Muslim calligraphy in medieval Bengal and later in the Deccan", What is the title of the artwork?, Dedicatory Inscription from a Mosque, In what year was the artwork created?, 1500 CE, What is the medium used for the artwork?, Gabbro (a type of stone), What is the significance of the inscription's script?," It is in ""tughra"" script, which is an elaborate style of Arabic calligraphy, and is an outstanding example of Indo-Muslim epigraphy."
453054,https://images.metmuseum.org/CRDImages/is/original/DP210624.jpg,Tent lining,Floral Tent Panel,,ca. 1635,"Silk, gold; cut velvet, painted","Textile: L. 105 3/4 in. (268.6 cm)
             W. 221 1/4 in. (562 cm)
Tube: L. 120 in. (304.8 cm)
           W. 20 in. (50.8 cm)",,Textiles,"In the lavish encampments used by Indian rulers when traveling, tents were lined with beautiful textiles. This panel, from the interior of a tent complex probably made for Raja Jai Singh l (r. 1611–67) of Amber, indicates the ambiance of such tent cities. The velvet panel has five compartments, each containing a poppy plant under an arch, with floral and leaf scrolls in the spandrels. The gold decoration was made by covering parts of the design with an adhesive substance, then placing gold leaf on top of the adhesive, beating it into the surface, and burnishing it.", What is the name of the art?, Floral Tent Panel, When was the art created?, ca. 1635, What is the main purpose of this art?, To line the interior of tents used by Indian rulers while traveling, Describe the design of the panel.," The panel features five compartments, each containing a poppy plant under an arch, with floral and leaf scrolls in the spandrels. The decoration is made with gold leaf beaten into the surface and burnished."
453058,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-1a.jpg,Folio from an illustrated manuscript,Opening Page from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"H. 11 5/16  in. (28.7 cm)
W. 7 7/16 in. (18.9 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What type of object is this?, Folio from an illustrated manuscript, What is the title of the manuscript?, Opening Page from a Kalila wa Dimna, When was the manuscript created?, Second quarter 16th century, What is the primary medium used in the manuscript?, Ink and opaque watercolor on paper
453059,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-2a.jpg,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art piece?, Page of Calligraphy from a Kalila wa Dimna, When was the art piece created?, Second quarter 16th century, What materials were used to create the art piece?, Ink and opaque watercolor on paper, What is the main subject matter of the manuscript the art piece comes from?, The famous tales of the jackals Kalila and Dimna
453060,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-3a.jpg,Folio from an illustrated manuscript,Page of Calligraphy from a  from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art?, Page of Calligraphy from a  from a Kalila wa Dimna, What is the medium used in the art?, Ink and opaque watercolor on paper, What is the classification of the art?, Codices, What is the possible origin of the art?," Sultanate Gujarat, copied from an Egyptian original"
453061,https://images.metmuseum.org/CRDImages/is/original/DP300738.jpg,Folio from an illustrated manuscript,"""Burzuya's Mission"" Folio 5v, 6r from a Kalila Wa Dimna of Bidpai",,second quarter 16th century,Ink and opaque watercolor on paper,"H. 12 1/2 in. (31.8 cm)
W. 8 7/8 in. (22.6 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the origin of the manuscript?," Sultanate Gujarat, copied from an Egyptian original", What stories are depicted in the manuscript?, The tales of the jackals Kalila and Dimna, What is the medium used to create the artwork?, Ink and opaque watercolor on paper, What is the characteristic style of the artwork?, Strong flavor of Mamluk Egypt with hints of Ottoman and Safavid influences
453063,https://images.metmuseum.org/CRDImages/is/original/DP300740.jpg,Folio from an illustrated manuscript,"""Burzuyeh is Summoned by Nushirvan on his Return from India"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the artwork?," ""Burzuyeh is Summoned by Nushirvan on his Return from India"", Folio from a Kalila wa Dimna", What is the medium used to create the artwork?, Ink and opaque watercolor on paper, What is the approximate size of the artwork?, H. 12 1/2 in. (31.8 cm) x W. 8 7/8 in. (22.6 cm), What is the origin and inspiration of the artwork?," The artwork is inspired by the ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), and has a strong flavor of Mamluk Egypt in its figure styles and bold drawings."
453064,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-9a.jpg,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What type of artwork is described in the metadata?, Folio from an illustrated manuscript, What is the title of the manuscript?, Page of Calligraphy from a Kalila wa Dimna, What materials were used to create the artwork?, Ink and opaque watercolor on paper, What is the cultural origin of the artwork's style?," A mix of Mamluk Egypt, Ottoman, and Safavid influences, with a suggestion of Sultanate Gujarat"
453065,https://images.metmuseum.org/CRDImages/is/original/DP300716.jpg,Folio from an illustrated manuscript,"""The Man who Discovers the Treasure has it Carried Away by Hired Workmen"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the name of the art and what does it depict?," ""The Man who Discovers the Treasure has it Carried Away by Hired Workmen"", Folio from a Kalila wa Dimna", When was the art created?, second quarter 16th century, What materials and techniques were used to create the art?, Ink and opaque watercolor on paper, What is the suggested origin of the art?," Sultanate Gujarat, possibly copied from an Egyptian original"
453066,https://images.metmuseum.org/CRDImages/is/original/DP300717.jpg,Folio from an illustrated manuscript,"""The Man who Pretends to be Asleep While the Thief Enters his House Becomes Drowsy and Really Falls Asleep"", Folio from a Kalila wa Dimna",,second quarter 16th century,Opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art?," ""The Man who Pretends to be Asleep While the Thief Enters his House Becomes Drowsy and Really Falls Asleep"", Folio from a Kalila wa Dimna", When was the art created?, Second quarter 16th century, What is the medium of the art?, Opaque watercolor on paper, What are the dimensions of the art?, Overall:
453067,https://images.metmuseum.org/CRDImages/is/original/DP300718.jpg,Folio from an illustrated manuscript,"""The Merchant and his Accomplice Carry Away Goods"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the name of the manuscript the folio is from?," ""Kalila wa Dimna""", When was the manuscript created?, Second quarter of the 16th century, What are the materials used to create the folio?, Ink and opaque watercolor on paper, What is the average size of the text folios?, H. 8 5/8 in. (21.9 cm) x W. 4 7/8 in. (12.4 cm)
453068,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-14a.jpg,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the name of the object described?, Folio from an illustrated manuscript, What is the subject matter of the manuscript?, Tales of the jackals Kalila and Dimna, What is believed to be the origin of the manuscript?," Sultanate Gujarat, copied from an Egyptian original", What is the script used in the manuscript?," A strong, left-leaning naskh-like script"
453069,https://images.metmuseum.org/CRDImages/is/original/DP300719.jpg,Folio from an illustrated manuscript,"""The Poor Man Apprehends the Thief"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art?," ""The Poor Man Apprehends the Thief"", Folio from a Kalila wa Dimna", In what period was the art created?, second quarter 16th century, What are the dimensions of the art?, Overall: H. 12 1/2 in. (31.8 cm) W. 8 7/8 in. (22.6 cm), What is the classification of the art?, Codices
453070,https://images.metmuseum.org/CRDImages/is/original/DP300720.jpg,Folio from an illustrated manuscript,"The Thieves on the Roof Awaken the Merchant"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art?," The Thieves on the Roof Awaken the Merchant, Folio from a Kalila wa Dimna", What is the medium used to create the art?, Ink and opaque watercolor on paper, What is the approximate height and width of the art?, Height: 12 1/2 in. (31.8 cm); Width: 8 7/8 in. (22.6 cm), What is the style of writing found in the manuscript?," Strong, left-leaning naskh-like script"
453071,https://images.metmuseum.org/CRDImages/is/original/sf1981-373-17a.jpg,Folio from an illustrated manuscript,Page of Calligraphy from a Kalila wa Dimna,,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the title of the art?, Page of Calligraphy from a Kalila wa Dimna, When was the art created?, Second quarter 16th century, What materials were used to create the art?, Ink and opaque watercolor on paper, What is the cultural significance of the art?," The art contains stories from the Panchatantra, a famous book of ancient Indian animal fables, and has a strong flavor of Mamluk Egypt, Ottoman, and Safavid influences, reflecting the spread of these tales across the Middle East and Asia."
453072,https://images.metmuseum.org/CRDImages/is/original/DP300721.jpg,Folio from an illustrated manuscript,"""The Thief Falls Through the Skylight in the Bedroom"", Folio from a Kalila wa Dimna",,second quarter 16th century,Ink and opaque watercolor on paper,"Overall:
            H. 12 1/2 in. (31.8 cm)
            W. 8 7/8 in. (22.6 cm)
Average text size:
            H. 8 5/8 in. (21.9 cm)
            W. 4 7/8 in. (12.4 cm)",,Codices,"This manuscript contains seventy-eight paintings and many text folios telling the famous tales of the jackals Kalila and Dimna. Based on the book of ancient Indian animal fables, the Panchatantra written by Vidyapati (Bidpai), the stories spread all over the Middle East where they became wildly popular. This manuscript has a strong flavor of Mamluk Egypt in the figure styles and bold drawings, with hints of Ottoman tulips and Safavid turbans. However, the burnt orange palette and darkly-inked lines have led to an attribution to Sultanate Gujarat where it is suggested this manuscript was copied from an Egyptian original. Its life in India is also attested by a Devanagari inscription at the end, although the rest of the Arabic text is written in a strong, left-leaning naskh-like script.", What is the name of the art piece?," ""The Thief Falls Through the Skylight in the Bedroom"", Folio from a Kalila wa Dimna", When was the art piece created?, Second quarter 16th century, What materials were used to create the art piece?, Ink and opaque watercolor on paper, What is the style of the art piece?," It combines elements of Mamluk Egypt, Ottoman, and Safavid styles, with a burnt orange palette and darkly-inked lines."
